
SURVEY NAME: ???
SURVEY DATE: 12 17 2018  COMMENT:
SURVEY TEAM: 

DECLINATION:    0.00  FORMAT: DMMDLRUDLADNT  CORRECTIONS:  0.00 0.00 0.00  CORRECTIONS2:  0.00 0.00

                FROM                   TO   LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT   FLAGS  COMMENTS

                 A57                  A58    25.40    36.87     0.00     0.00     0.00     0.00     0.00
                 A58                  A59    35.59    26.87     0.00     0.00     0.00     0.00     0.00
                 A59                  A60    31.34     1.55     0.00     0.00     0.00     0.00     0.00
                 A60                  A61    30.13   340.29     0.00     0.00     0.00     0.00     0.00
                 A61                  A62    24.57   312.21     0.00     0.00     0.00     0.00     0.00
                 A62                  A63    21.39   297.07     0.00     0.00     0.00     0.00     0.00
                 A63                  A64    19.75   329.04     0.00     0.00     0.00     0.00     0.00
                 A64                  A65    53.37   311.78     0.00     0.00     0.00     0.00     0.00
                 A65                  A66    30.56   306.55     0.00     0.00     0.00     0.00     0.00
                 A66                  A67    24.86   312.93     0.00     0.00     0.00     0.00     0.00
                 A67                  A68    22.54   325.71     0.00     0.00     0.00     0.00     0.00
                 A68                  A69    12.95   348.69     0.00     0.00     0.00     0.00     0.00
                 A69                  A70    10.18    45.00     0.00     0.00     0.00     0.00     0.00
                 A70                  A71    16.44    55.49     0.00     0.00     0.00     0.00     0.00
                 A71                  A72    14.58    64.18     0.00     0.00     0.00     0.00     0.00
                 A55                  A73    18.33   276.63     0.00     0.00     0.00     0.00     0.00
                 A73                  A74     6.69   251.57     0.00     0.00     0.00     0.00     0.00
                 A74                  A75    25.71    17.24     0.00     0.00     0.00     0.00     0.00
                 A75                  A76    39.81   314.57     0.00     0.00     0.00     0.00     0.00
                 A76                  A77    20.67   304.99     0.00     0.00     0.00     0.00     0.00
                 A77                  A78    17.24   335.32     0.00     0.00     0.00     0.00     0.00
                 A78                  A79    19.50    27.12     0.00     0.00     0.00     0.00     0.00
                 A79                  A80    31.59   302.41     0.00     0.00     0.00     0.00     0.00
                 A80                  A81     6.02   219.29     0.00     0.00     0.00     0.00     0.00
                 A81                  A82     9.51   302.28     0.00     0.00     0.00     0.00     0.00
                 A82                  A83     4.83   217.87     0.00     0.00     0.00     0.00     0.00
                 A83                  A84    16.81   319.09     0.00     0.00     0.00     0.00     0.00
                 A84                  A85    16.85   334.72     0.00     0.00     0.00     0.00     0.00
                 A85                  A86    12.71   358.09     0.00     0.00     0.00     0.00     0.00
                 A48                  A87    17.61    62.82     0.00     0.00     0.00     0.00     0.00


